#PTM ID	Entrez Gene ID	BioGRID ID	Systematic Name	Official Symbol	Synonymns	Relationship	Identity	Author	Pubmed ID	Organism ID	Organism Name	Source Database
677440	7316	113164	-	UBC	HMG20	-	PTM	Chastagner P (2008)	18628966	9606	Homo sapiens	BIOGRID
677442	7316	113164	-	UBC	HMG20	-	PTM	Bonazzi M (2008)	18624796	9606	Homo sapiens	BIOGRID
677445	7316	113164	-	UBC	HMG20	-	PTM	Vatsyayan J (2008)	18617892	9606	Homo sapiens	BIOGRID
677446	7316	113164	-	UBC	HMG20	-	PTM	Bish RA (2008)	18613717	9606	Homo sapiens	BIOGRID
677447	7316	113164	-	UBC	HMG20	-	PTM	Lamothe B (2008)	18617513	9606	Homo sapiens	BIOGRID
677448	7316	113164	-	UBC	HMG20	-	PTM	Ferrero M (2008)	18593948	9606	Homo sapiens	BIOGRID
677449	7316	113164	-	UBC	HMG20	-	PTM	Ivanchuk SM (2008)	18583933	9606	Homo sapiens	BIOGRID
677451	7316	113164	-	UBC	HMG20	-	PTM	Ivanchuk SM (2008)	18583933	9606	Homo sapiens	BIOGRID
677454	7316	113164	-	UBC	HMG20	-	PTM	Ivanchuk SM (2008)	18583933	9606	Homo sapiens	BIOGRID
677455	7316	113164	-	UBC	HMG20	-	PTM	He Y (2008)	18577513	9606	Homo sapiens	BIOGRID
677456	7316	113164	-	UBC	HMG20	-	PTM	He Y (2008)	18577513	9606	Homo sapiens	BIOGRID
677457	7316	113164	-	UBC	HMG20	-	PTM	Varghese B (2008)	18573876	9606	Homo sapiens	BIOGRID
677458	7316	113164	-	UBC	HMG20	-	PTM	Choi S (2008)	18573314	9606	Homo sapiens	BIOGRID
677460	7316	113164	-	UBC	HMG20	-	PTM	Wang YT (2008)	18572193	9606	Homo sapiens	BIOGRID
677461	7316	113164	-	UBC	HMG20	-	PTM	Bertrand MJ (2008)	18570872	9606	Homo sapiens	BIOGRID
677462	7316	113164	-	UBC	HMG20	-	PTM	Bertrand MJ (2008)	18570872	9606	Homo sapiens	BIOGRID
677463	7316	113164	-	UBC	HMG20	-	PTM	Song MS (2008)	18566590	9606	Homo sapiens	BIOGRID
677464	7316	113164	-	UBC	HMG20	-	PTM	Song MS (2008)	18566590	9606	Homo sapiens	BIOGRID
677467	7316	113164	-	UBC	HMG20	-	PTM	Abedini MR (2008)	18559494	9606	Homo sapiens	BIOGRID
677468	7316	113164	-	UBC	HMG20	-	PTM	Kumar KG (2008)	18474601	9606	Homo sapiens	BIOGRID
677469	7316	113164	-	UBC	HMG20	-	PTM	Saliba RS (2008)	18467327	9606	Homo sapiens	BIOGRID
677470	7316	113164	-	UBC	HMG20	-	PTM	Koiwai K (2008)	18459963	9606	Homo sapiens	BIOGRID
677471	7316	113164	-	UBC	HMG20	-	PTM	Wei Y (2008)	18458088	9606	Homo sapiens	BIOGRID
677472	7316	113164	-	UBC	HMG20	-	PTM	Jadhav T (2008)	18457658	9606	Homo sapiens	BIOGRID
677473	7316	113164	-	UBC	HMG20	-	PTM	Wang X (2008)	18453590	9606	Homo sapiens	BIOGRID
677474	7316	113164	-	UBC	HMG20	-	PTM	Liao W (2008)	18450452	9606	Homo sapiens	BIOGRID
